date,open,high,low,close,volume
2021-07-21,62.65,63.55,62.45,62.62,46641
2021-07-22,62.44,62.585,61.56,61.62,74694
2021-07-23,61.825,62.27,61.24,61.43,125858
2021-07-26,61.53,62.07,61.44,61.94,54234
2021-07-27,60.95,62.26,60.94,61.89,86271
2021-07-28,62.14,62.495,60.33,60.86,57163
2021-07-29,62.35,63.49,61.23,63.28,102290
2021-07-30,63.445,65.0,63.28,63.65,60601
2021-08-02,63.9,65.24,63.9,64.39,85636
2021-08-03,64.94,65.24,64.16,65.16,88032
2021-08-04,64.53,65.47,64.48,64.56,45978
2021-08-05,65.12,65.58,64.56,65.365,102441
2021-08-06,66.56,66.82,65.905,66.4,81961
2021-08-09,66.39,67.13,66.03,66.72,92128
2021-08-10,66.5,67.68,66.45,66.79,62805
2021-08-11,67.0,67.93,66.93,67.53,52604
2021-08-12,67.83,68.23,67.525,67.98,132367
2021-08-13,67.925,68.31,67.68,68.0,31027
2021-08-16,67.75,68.33,67.54,67.76,58201
2021-08-17,67.19,68.195,67.18,67.44,50434
2021-08-18,67.0,67.97,66.65,66.7,44924
2021-08-19,66.59,66.89,65.51,65.88,68748
2021-08-20,65.8,66.5,65.595,66.235,42838
2021-08-23,66.615,67.32,66.615,66.85,56073
2021-08-24,66.915,67.34,66.57,67.16,24926
2021-08-25,67.105,68.16,66.93,67.855,44426
2021-08-26,67.68,67.95,67.07,67.27,25470
2021-08-27,67.24,68.31,67.195,68.19,52221
2021-08-30,67.97,67.97,67.0,67.0,30458
2021-08-31,66.98,67.51,66.62,67.23,26479
2021-09-01,67.29,70.85,66.86,67.82,224659
2021-09-02,67.94,68.58,67.82,68.48,81875
2021-09-03,68.28,68.56,67.875,68.11,65885
2021-09-07,67.89,68.7,67.54,67.575,47821
2021-09-08,67.42,68.61,67.42,68.56,65562
2021-09-09,69.39,70.33,68.57,68.62,178635
2021-09-10,69.03,69.44,68.43,68.97,48481
2021-09-13,69.295,70.47,69.295,70.29,75631
2021-09-14,69.83,70.38,69.38,70.07,63506
2021-09-15,69.805,70.85,69.755,70.41,131929
2021-09-16,70.68,70.83,69.885,70.57,60639
2021-09-17,70.75,71.29,69.4,69.52,106401
2021-09-20,67.74,68.86,67.29,68.48,103603
2021-09-21,69.0,69.09,67.795,67.8,44324
2021-09-22,68.715,69.16,68.44,68.91,52265
2021-09-23,69.85,70.31,69.205,69.4,246758
2021-09-24,69.49,69.91,69.33,69.35,54801
2021-09-27,69.97,70.95,69.94,70.87,72422
2021-09-28,70.94,71.27,70.425,70.75,82801
2021-09-29,70.97,71.77,70.77,71.68,86757
2021-09-30,71.95,71.96,70.19,70.19,111310
2021-10-01,70.41,71.675,69.97,70.985,50389
2021-10-04,70.9,71.76,69.98,70.16,43829
2021-10-05,70.205,72.15,69.95,71.745,107532
2021-10-06,71.31,72.5,70.76,72.46,155457
2021-10-07,73.21,73.975,72.41,72.42,115518
2021-10-08,72.165,73.095,71.48,73.03,93558
2021-10-11,73.45,73.925,72.59,72.59,37813
2021-10-12,72.77,72.83,71.7,71.98,55790
2021-10-13,71.58,71.97,70.59,71.61,75656
2021-10-14,72.21,72.69,71.435,72.335,220878
2021-10-15,72.98,73.07,71.71,72.1,42982
2021-10-18,72.01,72.685,71.65,71.73,38137
2021-10-19,72.45,72.5,71.955,72.34,68305
2021-10-20,72.27,73.19,72.1,73.085,47310
2021-10-21,73.3,73.31,72.67,72.97,52369
2021-10-22,73.245,74.345,73.105,74.08,81413
2021-10-26,74.09,74.09,72.91,72.98,48755
2021-10-27,73.2,73.885,72.74,72.8,75178
2021-10-28,73.04,73.73,73.04,73.725,70879
2021-10-29,75.0,75.88,72.79,72.9,125266
2021-11-01,73.355,73.915,72.3,73.15,60992
2021-11-02,73.46,73.57,72.76,72.76,58808
2021-11-03,73.04,74.59,72.95,74.105,85919
2021-11-04,73.685,73.685,71.51,71.95,72085
2021-11-05,72.415,72.8,71.24,71.83,94104
2021-11-08,72.12,72.12,70.705,71.54,57654
